ID,Journal Name,Topic,Subtopic,RSS Feed,Tracking Status,Last Updated,Priority,Website
39,American Journal of Sports Science & Medicine,Sports Medicine,General,http://www.sciepub.com/journal/ajssm/rss,Active,,Medium,http://www.sciepub.com/journal/ajssm
40,Asian Journal of Sports Medicine,Sports Medicine,General,https://sites.kowsarpub.com/asjsm/rss,Active,,Medium,https://sites.kowsarpub.com/asjsm/
41,Biology of Sport,Sports Science,Biology,https://www.termedia.pl/Journal/Biology_of_Sport-78/rss,Active,,Medium,https://www.termedia.pl/Journal/Biology_of_Sport-78
42,Biomechanics and Modeling in Mechanobiology,Biomechanics,Modeling,https://link.springer.com/search.rss?facet-journal-id=10237,Active,,Medium,https://www.springer.com/journal/10237
43,Cell Metabolism,Physiology,Metabolism,https://www.cell.com/cell-metabolism/inpress.rss,Active,,Medium,https://www.cell.com/cell-metabolism/home
44,Clinical Journal of Sports Medicine,Sports Medicine,Clinical,https://journals.lww.com/cjsportsmed/_layouts/15/Ovid.Custom/rss/feed.aspx?FeedType=CurrentIssue,Active,,Medium,https://journals.lww.com/cjsportsmed/pages/default.aspx
45,Clinical Physiology and Functional Imaging,Physiology,Imaging,https://onlinelibrary.wiley.com/feed/1475097X/most-recent,Active,,Medium,https://onlinelibrary.wiley.com/journal/1475097x
46,Endocrinology & Metabolism,Physiology,Metabolism,https://www.e-enm.org/rss.php,Active,,Medium,https://www.e-enm.org/
47,Experimental Gerontology,Physiology,Gerontology,https://rss.sciencedirect.com/publication/science/05315565,Active,,Medium,https://www.journals.elsevier.com/experimental-gerontology
48,Physiological Reports,Physiology,Reports,https://physoc.onlinelibrary.wiley.com/feed/2051817X/most-recent,Active,,Medium,https://physoc.onlinelibrary.wiley.com/journal/2051817x
49,Experimental Physiology,Physiology,Experimental,https://physoc.onlinelibrary.wiley.com/feed/1469445X/most-recent,Active,,Medium,https://physoc.onlinelibrary.wiley.com/journal/1469445x
50,FASEB,Biology,FASEB,https://faseb.onlinelibrary.wiley.com/feed/15306860/most-recent,Active,,Medium,https://faseb.onlinelibrary.wiley.com/journal/15306860
51,International Journal of Applied Exercise Physiology,Physiology,Applied,http://www.ijaep.com/index.php/IJAE/gateway/plugin/WebFeedGatewayPlugin/rss2,Active,,Medium,http://www.ijaep.com/
52,International Journal of Applied Sports Sciences,Sports Science,Applied,https://ijass.org/index.php/ijass/gateway/plugin/WebFeedGatewayPlugin/rss2,Active,,Medium,https://ijass.org/
53,International Journal of Kinesiology and Sports Science,Kinesiology,General,https://www.journals.aiac.org.au/index.php/IJKSS/gateway/plugin/WebFeedGatewayPlugin/rss2,Active,,Medium,https://www.journals.aiac.org.au/index.php/IJKSS
54,International Journal of Sport & Health Science,Sports Science,Health,https://www.jstage.jst.go.jp/AF03010SelectControl?action=rss&type=2&pub_code=ijshs&lang=en,Active,,Medium,https://www.jstage.jst.go.jp/browse/ijshs
55,International Journal of Sports Science & Coaching,Sports Science,Coaching,https://journals.sagepub.com/action/showFeed?jc=spoa&type=etoc&feed=rss,Active,,Medium,https://journals.sagepub.com/home/spo
56,International Journal of Sports Sciences & Fitness,Sports Science,Fitness,,Active,,Medium,http://www.ijssf.org/
57,Isokinetics and Exercise Science,Sports Science,Isokinetics,https://content.iospress.com/journals/isokinetics-and-exercise-science/rss,Active,,Medium,https://www.iospress.com/catalog/journals/isokinetics-and-exercise-science
58,Journal of Anatomy,Anatomy,General,https://onlinelibrary.wiley.com/feed/14697580/most-recent,Active,,Medium,https://onlinelibrary.wiley.com/journal/14697580
59,Journal of Applied Biomechanics,Biomechanics,Applied,https://journals.humankinetics.com/action/showFeed?jc=jab&type=etoc&feed=rss,Active,,Medium,https://journals.humankinetics.com/view/journals/jab/jab-overview.xml
60,Journal of Athletic Enhancement,Sports Science,Athletic Enhancement,https://www.scitechnol.com/athletic-enhancement-rss.xml,Active,,Medium,https://www.scitechnol.com/athletic-enhancement.php
61,Journal of Australian Strength & Conditioning,Sports Science,Strength & Conditioning,,Active,,Medium,https://www.strengthandconditioning.org/jasc
62,Journal of Exercise Physiology,Physiology,Exercise,,Active,,Medium,https://www.asep.org/asep/asep/JEPonline.html
63,Journal of Exercise Science & Fitness,Sports Science,Fitness,https://rss.sciencedirect.com/publication/science/1728869X,Active,,Medium,https://www.journals.elsevier.com/journal-of-exercise-science-and-fitness
64,"Journal of Exercise, Sports & Orthopedics",Sports Medicine,Orthopedics,,Active,,Medium,https://symbiosisonlinepublishing.com/exercise-sports-orthopedics/
65,Journal of Human Kinetics,Kinesiology,Human Kinetics,https://sciendo.com/rss/journal/hukin,Active,,Medium,https://sciendo.com/journal/HUKIN
66,Journal of Muscle Research and Cell Motility,Physiology,Muscle,https://link.springer.com/search.rss?facet-journal-id=10974,Active,,Medium,https://www.springer.com/journal/10974
67,Journal of Musculoskeletal and Neuronal Interactions,Physiology,Musculoskeletal,,Active,,Medium,http://www.ismni.org/jmni/
68,Journal of Musculoskeletal Research,Physiology,Musculoskeletal,https://www.worldscientific.com/action/showFeed?jc=jmsr&type=etoc&feed=rss,Active,,Medium,https://www.worldscientific.com/worldscinet/jmsr
69,Journal of Sport & Health Science,Sports Science,Health,https://rss.sciencedirect.com/publication/science/20952546,Active,,Medium,https://www.journals.elsevier.com/journal-of-sport-and-health-science
70,Journal of Sports Medicine & Doping Studies,Sports Medicine,Doping,,Active,,Medium,https://www.longdom.org/sports-medicine-doping-studies.html
71,Montenegrin Journal of Sports Science and Medicine,Sports Medicine,General,,Active,,Medium,http://www.mjssm.me/
72,"Muscle, Ligaments and Tendons Journal",Physiology,Muscle & Ligaments,,Active,,Medium,https://www.mltj.online/
73,Open Access Journal of Sports Medicine,Sports Medicine,Open Access,https://www.dovepress.com/cr_data/oai/dovepress_OAJSM.xml,Active,,Medium,https://www.dovepress.com/open-access-journal-of-sports-medicine-journal
74,Physiology & Behavior,Psychology,Behavior,https://rss.sciencedirect.com/publication/science/00319384,Active,,Medium,https://www.journals.elsevier.com/physiology-and-behavior
75,Science & Sports,Sports Science,General,https://rss.sciencedirect.com/publication/science/07651597,Active,,Medium,https://www.journals.elsevier.com/science-and-sports
76,South African Journal of Sports Medicine,Sports Medicine,General,https://journals.assaf.org.za/index.php/sajsm/gateway/plugin/WebFeedGatewayPlugin/rss2,Active,,Medium,https://journals.assaf.org.za/index.php/sajsm
77,Sport Sciences for Health,Sports Science,Health,https://link.springer.com/search.rss?facet-journal-id=11332,Active,,Medium,https://www.springer.com/journal/11332
78,Sports – Open Access Journal,Sports Science,Open Access,https://www.mdpi.com/rss/journal/sports,Active,,Medium,https://www.mdpi.com/journal/sports
79,Sports Biomechanics,Biomechanics,Sports,https://www.tandfonline.com/action/showFeed?jc=rspb20&type=etoc&feed=rss,Active,,Medium,https://www.tandfonline.com/toc/rspb20/current
80,The Open Sports Sciences Journal,Sports Science,Open Access,https://benthamopen.com/TOSSJ/rss/,Active,,Medium,https://benthamopen.com/TOSSJ/home/
81,ACSM Health & Fitness Journal,Sports Science,Fitness,https://journals.lww.com/acsm-healthfitness/_layouts/15/Ovid.Custom/rss/feed.aspx?FeedType=CurrentIssue,Active,,Medium,https://journals.lww.com/acsm-healthfitness/pages/default.aspx
82,Amino Acids,Nutrition,Amino Acids,https://link.springer.com/search.rss?facet-journal-id=726,Active,,Medium,https://www.springer.com/journal/726
83,Clinics in Sports Medicine,Sports Medicine,Clinics,https://www.sportsmed.theclinics.com/inpress.rss,Active,,Medium,https://www.sportsmed.theclinics.com/
84,Comprehensive Physiology,Physiology,Comprehensive,https://onlinelibrary.wiley.com/feed/20404603/most-recent,Active,,Medium,https://onlinelibrary.wiley.com/journal/20404603
85,Current Sports Medicine Reports,Sports Medicine,Reports,https://journals.lww.com/acsm-csmr/_layouts/15/Ovid.Custom/rss/feed.aspx?FeedType=CurrentIssue,Active,,Medium,https://journals.lww.com/acsm-csmr/pages/default.aspx
86,European Journal of Physiology,Physiology,European,https://link.springer.com/search.rss?facet-journal-id=424,Active,,Medium,https://www.springer.com/journal/424
87,Frontiers in Movement Science and Sport Psychology,Psychology,Movement Science,https://www.frontiersin.org/journals/movement-science-and-sport-psychology/rss,Active,,Medium,https://www.frontiersin.org/journals/movement-science-and-sport-psychology
88,International Journal of Endocrinology & Metabolism,Physiology,Endocrinology,https://sites.kowsarpub.com/ijem/rss,Active,,Medium,https://sites.kowsarpub.com/ijem/
89,International Journal of Performance Analysis in Sport,Sports Science,Performance Analysis,https://www.tandfonline.com/action/showFeed?jc=rpan20&type=etoc&feed=rss,Active,,Medium,https://www.tandfonline.com/toc/rpan20/current
90,Journal of Human Sport & Exercise,Sports Science,Human Sport,https://www.jhse.ua.es/rss,Active,,Medium,https://www.jhse.ua.es/
91,Journal of Motor Behavior,Psychology,Motor Behavior,https://www.tandfonline.com/action/showFeed?jc=vjmb20&type=etoc&feed=rss,Active,,Medium,https://www.tandfonline.com/toc/vjmb20/current
92,Journal of Motor Learning and Development,Psychology,Motor Learning,https://journals.humankinetics.com/action/showFeed?jc=jmld&type=etoc&feed=rss,Active,,Medium,https://journals.humankinetics.com/view/journals/jmld/jmld-overview.xml
93,Journal of Neurophysiology,Physiology,Neurophysiology,https://journals.physiology.org/action/showFeed?jc=jn&type=etoc&feed=rss,Active,,Medium,https://journals.physiology.org/journal/jn
94,Journal of Physical Activity and Health,Sports Science,Physical Activity,https://journals.humankinetics.com/action/showFeed?jc=jpah&type=etoc&feed=rss,Active,,Medium,https://journals.humankinetics.com/view/journals/jpah/jpah-overview.xml
95,"Metabolism, Clinical & Experimental",Physiology,Metabolism,https://www.metabolismjournal.com/inpress.rss,Active,,Medium,https://www.metabolismjournal.com/
96,Motor Control,Psychology,Motor Control,https://journals.humankinetics.com/action/showFeed?jc=mc&type=etoc&feed=rss,Active,,Medium,https://journals.humankinetics.com/view/journals/mc/mc-overview.xml
97,Pediatric Exercise Science,Sports Science,Pediatric,https://journals.humankinetics.com/action/showFeed?jc=pes&type=etoc&feed=rss,Active,,Medium,https://journals.humankinetics.com/view/journals/pes/pes-overview.xml
98,Perceptual and Motor Skills,Psychology,Motor Skills,https://journals.sagepub.com/action/showFeed?jc=pmsa&type=etoc&feed=rss,Active,,Medium,https://journals.sagepub.com/home/pms
99,Sport Scientific and Practical Aspects,Sports Science,Practical Aspects,,Active,,Medium,http://sportspa.com.ba/
100,The International Journal of Biochemistry & Cell Biology,Biology,Biochemistry,https://rss.sciencedirect.com/publication/science/13572725,Active,,Medium,https://www.journals.elsevier.com/the-international-journal-of-biochemistry-and-cell-biology
101,International Journal of Sports Science,Sports Science,General,,Active,,Medium,http://www.sapub.org/journal/aimsandscope.aspx?journalid=1111
102,JISSN,Nutrition,Sports,https://www.tandfonline.com/action/showFeed?jc=rssn20&type=etoc&feed=rss,Active,,Medium,https://jissn.biomedcentral.com/
103,American Journal of Clinical Nutrition,Nutrition,Clinical,https://academic.oup.com/rss/site_6141/3180.xml,Active,,Medium,https://academic.oup.com/ajcn
104,Annual Review of Nutrition,Nutrition,Reviews,https://www.annualreviews.org/action/showFeed?jc=nutr&type=etoc&feed=rss,Active,,Medium,https://www.annualreviews.org/journal/nutr
105,Nutrition Reviews,Nutrition,Reviews,https://academic.oup.com/rss/site_5409/3120.xml,Active,,Medium,https://academic.oup.com/nutritionreviews
106,Advances in nutrition,Nutrition,Advances,https://academic.oup.com/rss/site_6142/3182.xml,Active,,Medium,https://academic.oup.com/advances
107,Journal of Nutrition,Nutrition,General,https://academic.oup.com/rss/site_6143/3184.xml,Active,,Medium,https://academic.oup.com/jn
108,Proceedings of the Nutrition Society,Nutrition,Proceedings,https://www.cambridge.org/core/rss/journal/proceedings-of-the-nutrition-society,Active,,Medium,https://www.cambridge.org/core/journals/proceedings-of-the-nutrition-society
109,Journal of the Academy of Nutrition and Dietetics,Nutrition,Dietetics,https://www.jandonline.org/inpress.rss,Active,,Medium,https://www.jandonline.org/
110,Clinical Nutrition,Nutrition,Clinical,https://rss.sciencedirect.com/publication/science/02615614,Active,,Medium,https://www.journals.elsevier.com/clinical-nutrition
111,Nutrition Journal,Nutrition,General,https://nutritionj.biomedcentral.com/articles/most-recent/rss.xml,Active,,Medium,https://nutritionj.biomedcentral.com/
112,Nutrition and Metabolism,Nutrition,Metabolism,https://nutritionandmetabolism.biomedcentral.com/articles/most-recent/rss.xml,Active,,Medium,https://nutritionandmetabolism.biomedcentral.com/
113,British Journal of Nutrition,Nutrition,British,https://www.cambridge.org/core/rss/journal/british-journal-of-nutrition,Active,,Medium,https://www.cambridge.org/core/journals/british-journal-of-nutrition
114,European Journal of Clinical Nutrition,Nutrition,Clinical,https://www.nature.com/ejcn.rss,Active,,Medium,https://www.nature.com/ejcn/
115,Nutrition Research Reviews,Nutrition,Reviews,https://www.cambridge.org/core/rss/journal/nutrition-research-reviews,Active,,Medium,https://www.cambridge.org/core/journals/nutrition-research-reviews
116,European Journal of Nutrition,Nutrition,European,https://link.springer.com/search.rss?facet-journal-id=394,Active,,Medium,https://www.springer.com/journal/394
117,PLOSOne,General Science,PLOS,https://journals.plos.org/plosone/feed/atom,Active,,Medium,https://journals.plos.org/plosone/
118,PNAS Physiology,Physiology,PNAS,https://www.pnas.org/action/showFeed?type=etoc&feed=rss&jc=pnas,Active,,Medium,https://www.pnas.org/
119,Strength and Conditioning Journal,Sports Science,Strength & Conditioning,https://journals.lww.com/nsca-scj/_layouts/15/Ovid.Custom/rss/feed.aspx?FeedType=CurrentIssue,Active,,Medium,https://journals.lww.com/nsca-scj/
120,Sport Performance & Science Reports,Sports Science,Performance,,Active,,Medium,https://sportperformancescience.com/
121,Revista Brasileira de Ciências do Esporte,Sports Science,Brazilian,https://www.scielo.br/rss.php?pid=0101-3289&lang=en,Active,,Medium,https://www.scielo.br/j/rbce/
122,Revista Brasileira de Medicina do Esporte,Sports Medicine,Brazilian,https://www.scielo.br/rss.php?pid=1517-8692&lang=en,Active,,Medium,https://www.scielo.br/j/rbme/
123,Journal of Functional Morphology and Kinesiology,Kinesiology,Morphology,https://www.mdpi.com/rss/journal/jfmk,Active,,Medium,https://www.mdpi.com/journal/jfmk
124,General pubmed query,General Science,Pubmed,,Active,,Medium,https://pubmed.ncbi.nlm.nih.gov/
125,PeerJ Kinesiology,Kinesiology,PeerJ,https://peerj.com/kinesiology.rss,Active,,Medium,https://peerj.com/kinesiology
126,european Journal of translational myology,Physiology,Myology,https://www.pagepressjournals.org/index.php/bam/gateway/plugin/WebFeedGatewayPlugin/rss2,Active,,Medium,https://www.pagepressjournals.org/index.php/bam
127,Kinesiology,Kinesiology,General,,Active,,Medium,https://hrcak.srce.hr/kinesiology
128,Nutrients,Nutrition,Nutrients,https://www.mdpi.com/rss/journal/nutrients,Active,,Medium,https://www.mdpi.com/journal/nutrients
129,journal of science in sport and exercise,Sports Science,General,https://link.springer.com/search.rss?facet-journal-id=42978,Active,,Medium,https://www.springer.com/journal/42978
130,Journal of dietary supplements,Nutrition,Supplements,https://www.tandfonline.com/action/showFeed?jc=ijds20&type=etoc&feed=rss,Active,,Medium,https://www.tandfonline.com/toc/ijds20/current
131,Journal of exercise rehabilitation,Rehabilitation,Exercise,https://www.e-jer.org/rss.php,Active,,Medium,https://www.e-jer.org/
132,Journal of sport rehabilitation,Rehabilitation,Sport,https://journals.humankinetics.com/action/showFeed?jc=jsr&type=etoc&feed=rss,Active,,Medium,https://journals.humankinetics.com/view/journals/jsr/jsr-overview.xml
133,Journal of Bodywork and Movement Therapies,Rehabilitation,Movement Therapies,https://rss.sciencedirect.com/publication/science/13608592,Active,,Medium,https://www.journals.elsevier.com/journal-of-bodywork-and-movement-therapies
134,Physical Therapy in Sport,Rehabilitation,Physical Therapy,https://rss.sciencedirect.com/publication/science/1466853X,Active,,Medium,https://www.journals.elsevier.com/physical-therapy-in-sport
135,Journal for the Society of Neurosport,Sports Medicine,Neurosport,,Active,,Medium,https://neurosport.org/
136,International Journal of Environmental Research and Public Health,Public Health,Environmental,https://www.mdpi.com/rss/journal/ijerph,Active,,Medium,https://www.mdpi.com/journal/ijerph
137,Frontiers in Sports and Active Living,Sports Science,Active Living,https://www.frontiersin.org/journals/sports-and-active-living/rss,Active,,Medium,https://www.frontiersin.org/journals/sports-and-active-living
138,Squat University,Sports Science,"Biomechanics, Injury Prevention",squatuniversity.com/feed,Active,,Medium,https://squatuniversity.com
139,BarBend,Sports Science,"Strength Sports News, Guides",barbend.com/feed,Active,,Medium,https://barbend.com
140,StrongFirst,Sports Science,"Kettlebell, Bodyweight, Tension",strongfirst.com/blog/feed,Active,,Medium,https://strongfirst.com
141,Westside Barbell,Sports Science,"Conjugate Method, Powerlifting",westside-barbell.com/blogs/t...,Active,,Medium,https://westside-barbell.com
142,Train Heroic,Sports Science,"Coaching software, Team conditioning",trainheroic.com/feed,Active,,Medium,https://trainheroic.com
143,Juggernaut,Sports Science,"Powerlifting, Olympic Lifting",jtsstrength.com/category/wei...,Active,,Medium,https://jtsstrength.com
144,Starting Strength,Sports Science,Foundational Barbell Training,startingstrength.com/rss.rss,Active,,Medium,https://startingstrength.com
145,Precision Nutrition,Nutrition,"Behavior Change, Habits",precisionnutrition.com/blog/...,Active,,Medium,https://precisionnutrition.com
146,Legion Athletics,Nutrition,"Supplement Science, Diet Plans",legionathletics.com/blog/feed,Active,,Medium,https://legionathletics.com
147,NutritionFacts.org,Nutrition,"Plant-Based Nutrition, Disease",nutritionfacts.org/feed,Active,,Medium,https://nutritionfacts.org
148,RP Strength,Nutrition,"Periodization, Body Composition",(General Website Integration),Active,,Medium,https://rpstrength.com
149,Kath Eats,Nutrition,Everyday Healthy Eating,katheats.com/feed,Active,,Medium,https://katheats.com
150,Real Mom Nutrition,Nutrition,"Family Nutrition, Dietetics",realmomnutrition.com/feed,Active,,Medium,https://realmomnutrition.com
151,The PTDC,Professional Development,"Business Strategy, Online Coaching",theptdc.com/feed,Active,,Medium,https://theptdc.com
152,OriGym Blog,Professional Development,"Certification, CPD",origym.co.uk/feed,Active,,Medium,https://origym.co.uk
153,TrainFitness,Professional Development,"Instructor Resources, News",train.fitness/personal-train...,Active,,Medium,https://train.fitness
154,ACE Fitness Blog,Professional Development,"Certifications, Expert Insights",acefitness.org/resources/eve...,Active,,Medium,https://acefitness.org
